Jaagsiekteヒツジレトロウイルス	Jaagsiekte sheep retrovirus
セザリー細胞数	Sezary cell count
セラチア性肺炎	Pneumonia serratia
セリプロロール	Celiprolol
セレニウム欠乏	Selenium deficiency
ゼッケル症候群	Seckel syndrome
ソウルウイルス	Seoul virus
タバコ使用障害	Tobacco abuse
タバコ相互作用	Tobacco interaction
タバコ離脱症状	Tobacco withdrawal symptoms
タルウマゴヤシ	Medicago truncatula
タンジエール病	Tangier disease
ダニアレルギー	Mite allergy
ダプトマイシン	Daptomycin
ダーサン症候群	Dursun syndrome
ツニカマイシン	Tunicamycin
ティノスポラ属	Tinospora
テルソン症候群	Terson syndrome
テルモコックス	Thermococcus
テンシロン試験	Tensilon test
デイノコッカス	Deinococcus
デバリオミセス	Debaryomyces
トキソプラズマ	Toxoplasma
トノサマバッタ	Locusta migratoria
トブラマイシン	Tobramycin
トヨカマイシン	Toyocamycin
トリコフィトン	Trichophyton
トロポニン増加	Troponin increased
トロポニン正常	Troponin normal
トロポニン減少	Troponin decreased
トロポニン異常	Troponin abnormal
トロンビン時間	Thrombin time
トンネル状視野	Tunnel vision
ドライニードル	Dry needling
ナイセリア感染	Neisseria infection
ナイセリア検査	Neisseria test
ナックルパッド	Knuckle pads
ナトリウム貯留	Sodium retention
ニコチン酸欠乏	Nicotinic acid deficiency
ニトレンジピン	Nitrendipine
ニトロバクター	Nitrobacter
ニューロスポラ	Neurospora
ヌーナン症候群	Noonan syndrome
ネグレリア感染	Naegleria infection
ネコ引っかき病	Cat scratch disease
ネズミチフス菌	Salmonella typhimurium
ネブラマイシン	Nebramycin
ネルフィナビル	Nelfinavir
ノガラマイシン	Nogalamycin
ハイリスク妊娠	High risk pregnancy
ハートナップ病	Hartnup disease
ハーブ相互作用	Herbal interaction
バイオマイシン	Viomycin
バラムチア感染	Balamuthia infection
バリノマイシン	Valinomycin
バルトネラ検査	Bartonella test
バンカート病変	Bankart lesion
バンコマイシン	Vancomycin
バーローテスト	Barlow test
パエニバチルス	Paenibacillus
パクタマイシン	Pactamycin
パスツレラ感染	Pasteurella infection
パタスモンキー	Erythrocebus patas
パテルギー反応	Pathergy reaction
パリノー症候群	Parinaud syndrome
パロモマイシン	Paromomycin
ヒスタミン正常	Histamine normal
ヒスタミン濃度	Histamine level
ヒスタミン異常	Histamine abnormal
ヒストプラスマ	Histoplasma
ヒツジ偽結核菌	Corynebacterium pseudotuberculosis
ヒメゾウリムシ	Paramecium aurelia
ビソプロロール	Bisoprolol
ファイトプズマ	Phytoplasma
フィタン酸増加	Phytanic acid increased
フィブリン増加	Fibrin increased
フィブリン正常	Fibrin normal
フィブリン減少	Fibrin decreased
フィブリン異常	Fibrin abnormal
フォアダイス斑	Fordyce spots
フォンタン手術	Fontan procedure
フサリウム感染	Fusarium infection
フニンウイルス	Junin virus
フラッド症候群	Flood syndrome
フリンス症候群	Fryns syndrome
ブドウ球菌感染	Staphylococcal infection
ブドウ球菌検査	Staphylococcus test
ブプラノロール	Bupranolol
ブラジル紫斑熱	Brazilian purpuric fever
ブラストミセス	Blastomyces
ブルガダ症候群	Brugada syndrome
ブルーム症候群	Bloom syndrome
ブレオマイシン	Bleomycin
ブレタノミセス	Brettanomyces
ブレンナー腫瘍	Brenner tumour
プラクトロール	Practolol
プラスミン増加	Plasmin increased
プラスミン減少	Plasmin decreased
プリカマイシン	Plicamycin
プリン代謝障害	Purine metabolism disorder
プレジオモナス	Plesiomonas
プロテウス感染	Proteus infection
プロテーゼ移植	Prosthesis implantation
プロロセラピー	Proliferative injection therapy
ヘパリン抵抗性	Heparin resistance
ヘプシジン検査	Hepcidin test
ヘプシジン減少	Hepcidin decreased
ヘリコバクター	Helicobacter
ヘルペス性胃炎	Gastritis herpes
ヘルペス眼感染	Herpes ophthalmic
ベイヨネラ感染	Veillonella infection
ベタキソロール	Betaxolol
ベツォルト膿瘍	Bezold abscess
ベントール手術	Bentall procedure
ペジオコックス	Pediococcus
ペプトコッカス	Peptococcus
ペプロマイシン	Peplomycin
ペンブトロール	Penbutolol
ホスホマイシン	Fosfomycin
ホルター弁挿入	Holter valve insertion
ホルモン値異常	Hormone level abnormal
ホームレス家族	Homeless family
ボリビア出血熱	Bolivian haemorrhagic fever
ボルデテラ感染	Bordetella infection
ボルデテラ検査	Bordetella test
ボンネットザル	Macaca radiata
ポリオ後症候群	Post polio syndrome
ポリグラフ検査	Polygraph test
ポルフィリン症	Porphyrin metabolism disorder
マイクロ波療法	Microwave therapy
マイコプラズマ	Mycoplasma
マイトマイシン	Mitomycin
マゾッティ反応	Mazzotti reaction
マフッチ症候群	Maffucci syndrome
マラセチア感染	Malassezia infection
マリノバクター	Marinobacter
マルファン体型	Marfanoid habitus
マレー渓谷脳炎	Encephalitis australia
マンガン欠乏症	Manganese deficiency
マールブルグ病	Marburg disease
ミオカマイシン	Miocamycin
ミクソコッカス	Myxococcus
ミクロコッカス	Micrococcus
ミノサイクリン	Minocycline
ミュラー管嚢胞	Mullerian duct cyst
ムエンケ症候群	Muenke syndrome
ムラサキイガイ	Mytilus edulis
ムンプス性肝炎	Hepatitis mumps
ムンプス性膵炎	Pancreatitis mumps
メイヨースコア	Mayo score
メゾヌーブ骨折	Maisonneuve fracture
メタゲノム解析	Metagenomic analysis
メタサイクリン	Methacycline
メタノコッカス	Methanococcus
メチロコッカス	Methylococcus
メトプロロール	Metoprolol
メバロン酸尿症	Mevalonic aciduria
メマツヨイグサ	Oenothera biennis
メラトニン欠乏	Melatonin deficiency
モラクセラ感染	Moraxella infection
モルガネラ感染	Morganella infection
モルガネラ検査	Morganella test
モルバン症候群	Morvan syndrome
ユビキノン増加	Ubiquinone increased
ユビキノン減少	Ubiquinone decreased
ヨウ素摂取増加	Iodine uptake increased
ヨウ素摂取正常	Iodine uptake normal
ヨウ素摂取減少	Iodine uptake decreased
ヨウ素摂取異常	Iodine uptake abnormal
ヨーロッパブナ	Beech Fagus IgE Ab
ライソバクター	Lysobacter
ラクトコッカス	Lactococcus
ラッサウイルス	Lassa virus
ラベプラゾール	Rabeprazole
ランブル鞭毛虫	Giardia lamblia
ラーセン症候群	Larsen syndrome
リウマチ性障害	Rheumatic disorder
リステリア検査	Listeria test
リスフラン骨折	Lisfranc fracture
リゾチーム増加	Lysozyme increased
リゾチーム減少	Lysozyme decreased
リバウンド乾癬	Rebound psoriasis
リバウンド効果	Rebound effect
リバウンド頻脈	Rebound tachycardia
リバウンド鼻閉	Rebound nasal congestion
リポ蛋白欠乏症	Lipoprotein deficiency
リメサイクリン	Lymecycline
リンコマイシン	Lincomycin
リンパ性白血病	Lymphocytic leukaemia
リンパ洞カタル	Lymphatic sinus catarrh
リンパ球数増加	Lymphocyte count increased
リンパ球数正常	Lymphocyte count normal
リンパ球数減少	Lymphocyte count decreased
リンパ球数異常	Lymphocyte count abnormal
リンパ球百分率	Lymphocyte percentage
リンパ節石灰化	Lymph node calcification
リンパ節線維症	Lymph node fibrosis
リンパ系新生物	Lymphatic system neoplasm
リンパ組織手術	Lymphoid tissue operation
リンパ腫の転化	Lymphoma transformation
リンパ芽球形態	Lymphoblast morphology
ルミノコッカス	Ruminococcus
ループス心筋炎	Lupus myocarditis
ループス心膜炎	Pericarditis lupus
ループス網膜症	Lupus retinopathy
ループス肺臓炎	Lupus pneumonitis
ループス胸膜炎	Lupus pleurisy
ループス腹膜炎	Peritonitis lupus
ループス膀胱炎	Lupus cystitis
ループス血管炎	Lupus vasculitis
レジオネラ感染	Legionella infection
レジオネラ検査	Legionella test
レスパイトケア	Respite care
レチクリン増加	Reticulin increased
レプトトリキア	Leptotrichia
レボブノロール	Levobunolol
レンサ桿菌感染	Streptobacillus infection
レンサ球菌感染	Streptococcal infection
レンサ球菌検査	Streptococcus test
ロゼオバクター	Roseobacter
ロドスピリルム	Rhodospirillum
ロバーツ症候群	Roberts syndrome
ロビノウ症候群	Robinow syndrome
ロンベルグ試験	Romberg test
ワニの涙症候群	Crocodile tears syndrome
一回拍出量増加	Stroke volume increased
一回拍出量正常	Stroke volume normal
一回拍出量減少	Stroke volume decreased
一回換気量増加	Tidal volume increased
一回換気量正常	Tidal volume normal
一回換気量減少	Tidal volume decreased
一回換気量異常	Tidal volume abnormal
一過性舌乳頭炎	Transient lingual papillitis
一酸化炭素中毒	Carbon monoxide poisoning
一酸化窒素測定	Nitric oxide test
三尖弁両室挿入	Straddling tricuspid valve
三次性副腎不全	Tertiary adrenal insufficiency
上位交差症候群	Upper crossed syndrome
上咽頭ポリープ	Nasopharyngeal polyp
上咽頭未分化癌	Undifferentiated nasopharyngeal carcinoma
上咽頭生検正常	Biopsy nasopharynx normal
上咽頭生検異常	Biopsy nasopharynx abnormal
上室性期外収縮	Supraventricular extrasystoles
上腕の神経根炎	Radiculitis brachial
上輪部角結膜炎	Superior limbic keratoconjunctivitis
上部消化管出血	Upper gastrointestinal haemorrhage
上部消化管穿孔	Upper gastrointestinal perforation
上顎洞仮性嚢胞	Maxillary sinus pseudocyst
下位交差症候群	Lower crossed syndrome
下垂体スキャン	Pituitary scan
下垂体後葉注射	Posterior pituitary injection
下垂体性無月経	Pituitary amenorrhoea
下垂体腫瘍摘出	Pituitary tumour removal
下部消化管出血	Lower gastrointestinal haemorrhage
下部消化管穿孔	Lower gastrointestinal perforation
下顎歯列弓拡大	Mandibular arch expansion
不妊症検査正常	Infertility tests normal
不妊症検査異常	Infertility tests abnormal
不完全人工流産	Abortion induced incomplete
不整脈ストーム	Arrhythmic storm
不純物混和製品	Adulterated product
不随意性筋収縮	Muscle contractions involuntary
丘疹膿疱性酒さ	Papulopustular rosacea
丘疹落屑性皮疹	Rash papulosquamous
両側卵巣摘出術	Oophorectomy bilateral
両眼視機能障害	Binocular visual dysfunction
中心窩反射異常	Foveal reflex abnormal
中毒性甲状腺腫	Toxic goitre
中毒性白質脳症	Toxic leukoencephalopathy
中毒性視神経症	Toxic optic neuropathy
乳児姿勢非対称	Infantile postural asymmetry
乳児弓なり姿勢	Infantile back arching
乳児殿部肉芽腫	Granuloma gluteale infantum
乳児用調製粉乳	Infant nutritional formula
乳児肢端膿疱症	Infantile acropustulosis
乳房処置合併症	Breast procedural complication
乳房増殖性変化	Breast proliferative changes
乳房超音波検査	Ultrasound breast
乳探し反射不良	Poor rooting reflex
乳酸桿菌菌血症	Lactobacillus bacteraemia
乳頭部ポリープ	Ampullary polyp
予防的化学療法	Prophylactic chemotherapy
予防的頭蓋照射	Prophylactic cranial irradiation
二糖類代謝障害	Disaccharide metabolism disorder
二酸化炭素増加	Carbon dioxide increased
二酸化炭素正常	Carbon dioxide normal
二酸化炭素減少	Carbon dioxide decreased
二酸化炭素異常	Carbon dioxide abnormal
二重皮質症候群	Double cortex syndrome
亜急性心内膜炎	Subacute endocarditis
亜急性甲状腺炎	Thyroiditis subacute
亜硝酸塩様反応	Nitritoid reaction
亜硫酸ガス測定	Sulphur dioxide test
交差感受性反応	Cross sensitivity reaction
交感神経節破壊	Sympathetic ganglion destruction
人工乳房使用者	Breast prosthesis user
人工内耳植込み	Cochlea implant
人工喉頭使用者	Laryngeal prosthesis user
人工弁心内膜炎	Prosthetic valve endocarditis
人工心臓植込み	Artificial heart implant
人工授精不成功	Failed artificial insemination
人工気管支挿入	Bronchial prosthesis insertion
人工網膜植込み	Retinal implant
人工脊椎使用者	Spinal prosthesis user
人工角膜植込み	Corneal implant
人工関節使用者	Joint prosthesis user
人間関係の問題	Personal relationship issue
他人の手症候群	Alien hand syndrome
他人の肢症候群	Alien limb syndrome
代謝異常の治療	Metabolic abnormality management
仮性動脈瘤感染	Pseudoaneurysm infection
企図的投薬欠落	Intentional dose omission
企図的製品誤用	Intentional product misuse
企図的過量投与	Intentional overdose
伸展性足底反応	Extensor plantar response
低比重リポ蛋白	Low density lipoprotein
低温による損傷	Cold exposure injury
低血圧クリーゼ	Hypotensive crisis
低血糖ショック	Shock hypoglycaemic
体液性免疫不全	Humoral immune defect
便中トリプシン	Stool trypsin
側頭葉てんかん	Temporal lobe epilepsy
偶発的過量投与	Accidental overdose
偽性ジストニア	Psychogenic movement disorder
偽水晶体緑内障	Pseudophakic glaucoma
偽神経学的症状	Pseudoneurologic symptom
偽造製品の使用	Counterfeit product administered
偽造製品の疑い	Suspected counterfeit product
傍卵巣嚢胞摘出	Paraovarian cystectomy
傍神経節新生物	Paraganglion neoplasm
傍腫瘍性脊髄症	Paraneoplastic myelopathy
傍静脈薬剤投与	Paravenous drug administration
傾斜乳頭症候群	Tilted disc syndrome
先天性てんかん	Epilepsy congenital
先天性デング熱	Congenital dengue disease
先天性ヘルニア	Hernia congenital
先天性マラリア	Congenital malaria
先天性上室頻拍	Congenital supraventricular tachycardia
先天性乳頭異常	Congenital nipple anomaly
先天性乳頭陥没	Congenital nipple inversion
先天性凝固亢進	Congenital hypercoagulation
先天性動脈奇形	Congenital arterial malformation
先天性動脈閉塞	Congenital arterial occlusion
先天性動静脈瘻	Congenital arteriovenous fistula
先天性卵巣異常	Congenital ovarian anomaly
先天性口腔奇形	Congenital oral malformation
先天性咽頭異常	Congenital pharyngeal anomaly
先天性喉頭喘鳴	Congenital laryngeal stridor
先天性喉頭奇形	Congenital laryngeal malformation
